# name	orig_insns	gen_insns	n_diff
@abs$qi	8	10	8
@activate_menu_bar$qv	124	124	6
@add_barrel$quiui	91	86	11
@add_bubble$qiii	57	57	0
@add_door$quiui	64	64	0
@add_explosion$qiiucnuc	91	91	0
@add_jason$qv	46	46	0
@add_map_item$quiui	1007	1006	19
@add_map_pup$quiui	120	124	12
@add_missile$qn7m_actoruci	224	225	1
@add_switch$quiui	46	46	0
@atoi$qnxuc	8	8	0
@button@$bdtr$qv	19	19	0
@catalogue_call_up$quc	49	49	0
@cb_about_de$qv	300	296	8
@cb_catalogue$qv	21	21	0
@cb_control$qv	128	124	16
@cb_debug_info$qv	179	179	0
@cb_debug_shot_size$qv	77	76	1
@cb_game_speed$qv	93	90	9
@cb_god_mode$qv	12	12	0
@cb_help$qv	24	24	0
@cb_high_scores$qv	12	12	0
@cb_instructions$qv	24	24	0
@cb_password$qv	91	91	4
@cb_play_song$qv	34	31	9
@cb_quit$qv	84	83	9
@cb_resume$qv	5	5	0
@cb_run_benchmark$qv	79	81	8
@cb_sound$qv	99	97	4
@cb_start$qv	17	16	3
@cb_start_act_2$qv	17	16	3
@cb_stop_song$qv	21	19	4
@cb_story$qv	24	24	0
@check_flying_death$qn7m_actor	17	17	0
@check_for_hit$qn7m_actoruc	28	26	14
@check_guages$qv	153	153	10
@check_horizontal_ray$qn7m_actorui	39	41	4
@check_new_pos$qn7m_actoriinit4iii	104	103	5
@check_user$qv	363	361	28
@check_vertical_ray$qn7m_actorui	50	53	13
@clear_message$qv	30	30	0
@de_button$qv	12	12	0
@de_doit$qv	587	590	3
@do_barrel$qn7m_actor	26	26	0
@do_block$qn7m_actor	9	9	0
@do_bs1$qn7m_actor	383	390	185
@do_bs2$qn7m_actor	210	216	42
@do_bs2_eyes$qn7m_actor	29	29	0
@do_bs2tn$qn7m_actor	47	45	14
@do_bs3$qn7m_actor	383	378	131
@do_bs3_face$qn7m_actor	30	30	0
@do_bs3_prop$qn7m_actor	59	59	0
@do_bs3a$qn7m_actor	112	108	20
@do_bubble$qn7m_actor	46	42	4
@do_cannon$qn7m_actor	93	97	12
@do_chest$qn7m_actor	146	146	6
@do_clam$qn7m_actor	210	209	15
@do_coin$qn7m_actor	143	153	32
@do_crab$qn7m_actor	107	107	24
@do_door$qn7m_actor	28	26	4
@do_duct_lr$qn7m_actor	68	71	9
@do_duct_ud$qn7m_actor	69	70	15
@do_ego$qn7m_actor	120	123	19
@do_exp$qn7m_actor	12	12	0
@do_face$qn7m_actor	95	96	9
@do_fire_ball$qn7m_actor	62	62	0
@do_fire_pit$qn7m_actor	69	69	4
@do_fish$qn7m_actor	59	57	26
@do_follow$qn7m_actorii	106	95	57
@do_gun_piece$qn7m_actor	44	43	3
@do_jelly$qn7m_actor	147	140	27
@do_mine1$qn7m_actor	132	131	17
@do_mine2$qn7m_actor	82	80	22
@do_missle$qn7m_actor	276	283	39
@do_pirana$qn7m_actor	178	184	40
@do_pod$qn7m_actor	185	195	178
@do_probe$qn7m_actor	281	290	99
@do_pup$qn7m_actor	158	159	17
@do_score$qn7m_actor	11	11	0
@do_serpent$qn7m_actor	104	105	63
@do_shark$qn7m_actor	222	226	128
@do_ship$qn7m_actor	144	149	41
@do_ship_bomb$qn7m_actor	65	67	10
@do_shuttle$qn7m_actor	106	106	42
@do_spikes$qn7m_actor	74	71	53
@do_switch$qn7m_actor	32	31	3
@do_tentacle$qn7m_actor	77	79	4
@do_tulip$qn7m_actor	166	163	77
@do_zapper$qn7m_actor	50	49	3
@ego_fire$qv	90	90	6
@end_game$qv	119	119	2
@end_room$qv	9	9	0
@exit_secret_level$qv	31	30	3
@game_cast@$bctr$qv	19	18	5
@game_cast@add$qnucnvt2	53	52	1
@game_cast@kill_all$qv	39	39	0
@game_cast@remove$quc	42	42	0
@game_manager@$bctr$qnuc	150	149	1
@game_manager@$bdtr$qv	33	33	0
@game_manager@clear_flags$qv	11	12	5
@game_manager@continue_song$qv	12	11	3
@game_manager@define_sound$qnucuc	53	53	0
@game_manager@doit$qv	93	94	3
@game_manager@get_loop$qnuc	34	33	1
@game_manager@get_sound$qnuc	40	39	1
@game_manager@joy_update$qv	5	5	0
@game_manager@load_loop$qnuc	198	195	13
@game_manager@load_pcs$qnuc	92	88	16
@game_manager@load_voc$qnuc	46	46	2
@game_manager@pause_song$qv	12	11	3
@game_manager@play_pcs_file$qnuc	46	45	3
@game_manager@play_song$qnuc	36	35	3
@game_manager@play_sound$qnucuc	77	73	18
@game_manager@play_sound_file$qnuc	23	22	3
@game_manager@play_voc$qnuc	19	14	11
@game_manager@play_voc_file$qnuc	31	30	5
@game_manager@remove_loop$qnuc	99	98	3
@game_manager@remove_sound$qnuc	140	137	9
@game_manager@reset_player$quc	41	41	0
@game_manager@reset_sound$qv	17	17	0
@game_manager@stop_song$qv	19	18	3
@game_manager@turn_sound$quc	31	31	4
@game_manager@voc_playing$qv	12	10	2
@get_map_coords$quinit2	18	18	0
@gm_open$qnuc	8	8	0
@gm_read$qnvui	160	10	150
@gui_item@$bdtr$qv	14	14	0
@gui_item@draw$qv	4	4	0
@gui_item@erase$qv	9	4	5
@gui_item@poll$qv	5	5	0
@help_call_up$quc	40	40	0
@hit_cur_sub$qii	12	12	0
@hook_up_switches$qv	71	71	0
@init_display$quc	13	13	0
@init_game$qv	256	257	71
@init_scores_array$qv	28	28	2
@init_scores_file$qv	29	29	2
@instructions_call_up$quc	78	77	3
@is_record$qul	19	19	2
@kill_ego$qii	208	209	13
@kill_jason$qv	30	30	0
@load_resources$qv	826	826	0
@load_scores_in$qv	26	26	0
@m_actor@$bctr$qnucnvt2	131	131	4
@m_actor@$bdtr$qv	12	12	0
@m_actor@check_in_window$qv	33	33	0
@m_actor@cycle$qv	181	195	74
@m_actor@draw$qv	64	64	2
@m_actor@erase$qv	72	71	5
@m_actor@facing_actor$qn7m_actor	25	24	1
@m_actor@move$qv	131	131	0
@m_actor@new_loop$qnuc	101	101	0
@m_actor@on_pos$qui	37	36	1
@m_actor@on_tile$qi	43	42	1
@m_actor@set_cycle$qucuc	55	56	3
@m_actor@set_xy$qii	80	80	0
@m_actor@tile_collision$qiii	84	87	7
@mv_barrel$qn7m_actornit2	39	39	4
@mv_bs2tn$qn7m_actornit2	27	27	0
@mv_ego$qn7m_actornit2	80	80	0
@mv_pace$qn7m_actornit2	91	92	9
@mv_pirana$qn7m_actornit2	26	26	0
@mv_shark$qn7m_actornit2	49	48	9
@mv_ship$qn7m_actornit2	42	46	28
@mv_std$qn7m_actornit2	42	42	0
@parse_options$qinnuc	62	62	2
@pc_sound_doit$qve	63	60	19
@play_game$quc	566	563	67
@post_message$quc	130	131	1
@prepare_new_screen$qv	20	20	0
@print_form$qnucuc	135	135	10
@random$qi	11	11	0
@restore_old_screen$qv	20	20	0
@return_element$qucuc	50	48	12
@save_all_scores$qv	27	27	0
@save_new_score$qulnucuc	50	50	10
@score_at$qiii	65	65	0
@scroll_to$qn7m_actor	164	168	4
@set_flying_death$qn7m_actornuciiuc	30	30	0
@setup_options$qv	224	224	8
@setup_secret_level$qv	32	31	3
@show_high_scores$quc	354	350	16
@show_loop$qnuciiucui	80	80	0
@show_prelude$qv	172	171	23
@show_stats$qv	581	581	0
@start_room$qnuc	381	377	46
@start_title_loop$qv	94	89	9
@story_call_up$quc	41	41	6
@teleport_to$qui	113	113	0
@tilemap@$bctr$qnucii	90	90	0
@tilemap@$bdtr$qv	71	23	48
@tilemap@add_cycle$qucucuc	40	23	17
@tilemap@center_on$quiui	29	27	2
@tilemap@change_tile$qului	61	22	41
@tilemap@check_bounds$qnit1t1t1	51	50	1
@tilemap@download_tiles$qv	51	52	1
@tilemap@erase_bits$qiiii	131	133	2
@tilemap@explode$qv	20	20	0
@tilemap@get_map_pos$qii	21	21	0
@tilemap@init_tables$qv	48	48	0
@tilemap@init_work_vars$qv	20	20	0
@tilemap@load$qnucuc	184	181	13
@tilemap@new_map$qnucii	52	52	0
@tilemap@purge_tiles$qv	15	14	3
@tilemap@put_bits_masked$qiiiinucuiuc	43	42	3
@tilemap@reset_map$qv	74	74	0
@tilemap@reset_palette$quc	40	40	0
@tilemap@save$qnuc	288	100	198
@tilemap@scroll$quc	207	39	178
@tilemap@set_position$qii	168	168	14
@tilemap@set_viewport$qiiii	115	115	0
@tilemap@turn_cycling$quc	17	17	0
@tilemap@update$qui	23	23	0
@toggle_sub_control$qv	36	35	3
@touching$qn7m_actort1	192	191	3
@turn_ego$qv	31	31	12
@update_air_guage$qiii	136	132	20
@update_boss_guage$qv	143	147	4
@update_gun$qv	101	101	16
@update_jason_guage$qv	131	131	0
@update_key_guage$qv	39	39	0
@update_men$qv	46	46	0
@update_score$qii	78	78	0
@update_shld_guage$qiii	136	132	20
@vga_display@$bctr$quc	47	47	10
@vga_display@$bdtr$qv	16	16	0
@vga_display@blank_palette$qv	5	5	0
@vga_display@cls$qucuc	18	18	0
@vga_display@copy_bits$qiiiiiiuiuiuiui	16	16	0
@vga_display@copy_page$qucuc	26	26	0
@vga_display@cycle$qv	44	43	1
@vga_display@doit$qv	17	16	1
@vga_display@draw_span$qiiuciui	13	13	0
@vga_display@dump_pcx$qv	214	204	28
@vga_display@explode_pcx$qnucuii	144	117	41
@vga_display@fade_down$qv	8	8	0
@vga_display@fade_up$qv	8	8	0
@vga_display@fill_rect$qiiiiiiuc	49	49	0
@vga_display@get_bits$qiiii	31	31	0
@vga_display@get_palette$qv	25	25	4
@vga_display@import_palette$qnucui	26	26	0
@vga_display@load_pcx$qnucnui	227	80	159
@vga_display@pause$qui	17	19	6
@vga_display@print_at$qiinuc	75	33	42
@vga_display@print_at_xy$qiinucuc	42	42	0
@vga_display@put_bits$qiiiinucuiui	23	23	0
@vga_display@put_bits_masked$qiiiinucuiuiuc	148	149	3
@vga_display@read_pix$qii	9	9	0
@vga_display@restore_palette$qv	11	11	0
@vga_display@save_palette$qv	11	11	0
@vga_display@set_mode_x$qv	22	5	17
@vga_display@set_palette$qv	9	9	0
@vga_display@set_pix$qiiuc	12	12	0
@vga_display@set_text_mode$qv	13	13	0
@vga_display@setup_cycle$qucucuc	134	134	14
@vga_display@show_offset$qui	16	16	0
@vga_display@show_pcx$qnucucuii	168	167	115
@vga_display@turn_cycling$quc	25	24	3
@vga_text$qiinucucuc	405	406	431
@wait_for_user$qv	57	57	0
_main	16	18	2
